"paper_block","solver_implementation","saved_diagnostic","logical_status"
"Population and labor market (eq:axm-labor-market)","equilibrium_rates and equilibrium_static_block","labor_market_error and initial_population_log_error","exact identity in every saved row"
"Final production and CES share (eq:axm-final-production; eq:axm-sx)","monopoly_service_block and technology_log_errors","final_production_log_error and ai_share_definition_error","exact static condition"
"Competitive factor prices (eq:axm-factor-prices)","equilibrium_static_block and evaluate_solution","capital_price_error; wage_foc_log_error; ai_price_foc_log_error","exact static condition"
"Service identities X=AU and AM","equilibrium_static_block","inference_identity_log_error plus independent A-U and A-M reconstruction","exact static identities"
"Capability law and CES research index (eq:axm-capability-law; eq:axm-effective-research)","equilibrium_static_block and technology_log_errors","research_ces_log_error plus independent consolidated-law reconstruction","exact static and state equations"
"Research expenditure function and conditional demands (eq:axm-research-price--eq:axm-research-demands)","research_unit_cost and equilibrium_static_block","research_price_log_error; human_conditional_demand_log_error; automated_service_demand_log_error","exact dual conditions"
"Research expenditure share (eq:axm-sm)","equilibrium_static_block","automated_share_definition_error","exact definition"
"Monopoly FOC and SOC (eq:axm-monopoly-foc; eq:axm-monopoly-soc)","monopoly_service_block and evaluate_solution","monopoly_foc_log_error and monopoly_soc_margin","FOC solved; positive SOC required by audit"
"Research FOCs and scale condition (eq:axm-research-focs; eq:axm-research-scale-foc)","equilibrium_static_block and evaluate_solution","research_compute_foc_log_error; research_human_foc_log_error; research_scale_foc_log_error","exact interior conditions"
"Resource constraint (eq:axm-resource)","equilibrium_rates and evaluate_solution","resource_share_sum","exact market-clearing identity"
"Household budget and distributed profit (eq:axm-household-budget)","resource constraint plus zero final-firm profit and developer distributions","independent household_budget_equivalence reconstruction","exactly equivalent to aggregate resources after factor prices and market clearing"
"Capital law (eq:axm-canonical-system)","equilibrium_rates and collocation derivative","capital_law_residual","numerical differential equation"
"Capability law (eq:axm-canonical-system)","equilibrium_rates and collocation derivative","capability_law_residual","numerical differential equation"
"Household Euler equation (eq:axm-euler; eq:axm-canonical-system)","equilibrium_rates and collocation derivative","euler_residual and consumption_euler_path_residual","numerical differential equation"
"Developer costate (eq:axm-costate; eq:axm-canonical-system)","equilibrium_rates and collocation derivative","shadow_costate_residual plus independent capability-feedback reconstruction","numerical differential equation"
"Initial K A N","solve_equilibrium boundary and population normalization","initial_capital_log_error; initial_capability_log_error; initial_population_log_error","exact boundary conditions"
"Infinite-horizon TVCs (eq:axm-tvc)","balanced-growth terminal ratios in solve_equilibrium","terminal finite-horizon TVC proxies and horizon continuation checks","not directly proved by a finite-horizon simulation"
"Global optimality in published parameterizations (prop:axm-equilibrium-sufficiency)","parameter restrictions plus exact infinite-horizon equations","beta; eta(1+omega_M); 2eta","globally sufficient only for an exact admissible infinite-horizon path satisfying the TVCs"
